"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY_PN";"MPN";"OEPS";"TP_SIGNAL_NAME";
"15";"100nF";"C-EUC0402K";"C0402K";"C1, C3, C5, C7, C9, C12, C14, C16, C17, C18, C25, C26, C27, C28, C29";"CAPACITOR, European symbol";"";"C1005X7R1H104K050BB";"OEPS010004";"";
"1";"10R";"R-US_R0402";"R0402";"R5";"RESISTOR, American symbol";"";"ERJ-PA2J100X ";"OEPS020041 ";"";
"9";"10k";"R-US_R0402";"R0402";"R2, R6, R8, R12, R13, R17, R18, R19, R34";"RESISTOR, American symbol";"";"CRCW040210K0FKED";"OEPS020030";"";
"1";"15k";"R-EU_R0402";"R0402";"R21";"RESISTOR, European symbol";"";"ERJ-2RKF1502X";"OEPS020015";"";
"2";"15nF 5%";"C-EUC0402K";"C0402K";"C41, C42";"CAPACITOR, European symbol";"";"CGA2B3X7R1V153K050BB";"OEPS010023";"";
"1";"1M";"R-US_R0402";"R0402";"R3";"RESISTOR, American symbol";"";"CRCW04021M00FKED";"OEPS020026";"";
"1";"1x2 case";"22-23-2021";"22-23-2021";"X3";".100" (2.54mm) Center Header - 2 Pin";"";"282834-2";"OEPS070020";"";
"1";"1x3 case";"22-23-2031";"22-23-2031";"X4";".100" (2.54mm) Center Header - 3 Pin";"";"282834-3";"OEPS070035";"";
"1";"1x5 MAIN PLUG";"90G-5";"90G-5";"X1";"WEIDMUELLER CLAMP CONNECTOR";"";"20.155MH/5-E";"OEPS070037";"";
"2";"1x5 case";"22-23-2051";"22-23-2051";"X2, X5";".100" (2.54mm) Center Header - 5 Pin";"";"282834-5";"OEPS070041";"";
"1";"24k";"R-EU_R0402";"R0402";"R20";"RESISTOR, European symbol";"";"ERJ-2RKF2402X";"OEPS020048";"";
"1";"330R";"R-US_R0402";"R0402";"R1";"RESISTOR, American symbol";"";"RC0402FR-07330RL";"OEPS020037";"";
"1";"4.7nF";"C-EUC0402K";"C0402K";"C2";"CAPACITOR, European symbol";"";"CC0402KRX7R8BB472";"OEPS010001";"";
"5";"4.7uF";"C-EUC0603K";"C0603K";"C8, C10, C11, C23, C24";"CAPACITOR, European symbol";"";"C1608X6S1C475K080AC";"OEPS010018";"";
"3";"40R@100MHz";"R-EU_R0805";"R0805";"L1, L2, L3";"RESISTOR, European symbol";"";"MI0805K400R-10";"OEPS040003";"";
"3";"47pF";"C-EUC0402K";"C0402K";"C4, C6, C13";"CAPACITOR, European symbol";"";"04025A470JAT2A";"OEPS010011";"";
"1";"ATXMEGA32A4U";"XMEGA-A4_AT-XMEGA-XXA4-AUTQFP44";"TQFP44";"IC8";"ATxMega a4 Serie";"";"ATXMEGA32A4U-AUR";"OEPS080012";"";
"1";"CLCK_JACK";"STEREO_JACK";"35RASMT2BHNTRX";"X8";"CONN JACK STEREO 3.5MM SMD R/A";"";"35RASMT2BHNTRX";"OEPS070025";"";
"1";"DC_JACK2.1MM";"DC_JACK2.1MM";"DC_POWER_INPUT_2.1MM";"X7";"DC Power Connectors PCB 2.1MM";"";"163-179PH-EX";"OEPS070026";"";
"1";"DNI";"C-EUC0603K";"C0603K";"C15";"CAPACITOR, European symbol";"";"DNI";"DNI";"";
"3";"DNI";"R-US_R0402";"R0402";"R4, R7, R9";"RESISTOR, American symbol";"";"DNI";"DNI";"";
"1";"FT232RL";"FT232RL";"SSOP28";"IC1";"UART/FIFO IC";"";"FT232RL";"OEPS080013";"";
"1";"GREEN_LED";"LEDCHIP-LED0603";"CHIP-LED0603";"STATE";"";"";"LTST-C191KGKT";"OEPS030005";"";
"2";"LP5907MFX-3.3";"TLV700XX";"TSOT23-5";"IC3, IC9";"C REG LINEAR 3.3V 200MA SOT23-5";"";"LP5907MFX-3.3/NOPB";"OEPS080016";"";
"6";"M74VHC1GT126DT1G";"M74VHC1GT126DT1G";"TSOP-5";"IC2, IC4, IC5, IC6, IC11, IC12";"";"M74VHC1GT126DT1GOSDKR-ND";"M74VHC1GT126DT1G";"OEPS080017";"";
"4";"NO_COMPONENT";"TPB1,27";"B1,27";"TP1, TP10, TP11, TP13";"Test pad";"";"";"";"";
"5";"NO_COMPONENT";"TPSQTP11R";"TP11R";"TP4, TP5, TP6, TP8, TP9";"Test pad";"";"";"";"";
"1";"OSCILLATOR";"OSCILLATOR";"OSCILLATOR_3.2X2.5";"OSC1";"XTAL OSC TCXO 32.0000MHZ HCMOS";"";"DSC1001CI5-032.0000";"OEPS080018";"";
"1";"PINHD-2X3";"PINHD-2X3";"2X03";"SV2";"PIN HEADER";"";"609-3210-ND";"OEPS070015";"";
"1";"THS4281DBVT";"OPA365";"SOT23-5";"IC10";"";"";"THS4281DBVT";"OEPS080038";"";
"1";"USBLC6-2SC6";"USBLC6-2SC6";"SOT23-6L";"IC7";"TVS DIODE 5.25VWM 17VC SOT23-6";"";"USBLC6-2SC6";"OEPS030010";"";
"1";"USB_MINI_B";"USB_MINI_B";"240-0002-1";"X6";"CONN RCPT USB2.0 MINI B SMD R/A";"";"UX60-MB-5S8";"OEPS070021";"";
