"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"DESCRIPTION";"DIGIKEY_PN";"MANUFACTURER";"MF";"MOUSER_PN";"MPN";"NOTES";"OC_FARNELL";"OC_NEWARK";"OEPS";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TP_SIGNAL_NAME";"TYPE";"VALUE";
"2";"0R";"R-US_R0402";"R0402@1";"R1, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"RC0402JR-070RL";"";"";"";"OEPS020001";"";"";"";"";"";"";"";"";"";"";"";
"14";"100nF";"C-EUC0402K";"C0402K";"C3, C5, C7, C9, C12, C14, C15, C16, C17, C25, C26, C27, C28, C29";"CAPACITOR, European symbol";"";"";"445-5932-1-ND";"";"";"";"C1005X7R1H104K050BB";"-";"";"";"OEPS010004";"";"";"";"";"";"";"";"";"";"SMD";"";
"4";"10k";"R-US_R0402";"R0402@1";"R4, R7, R18, R34";"RESISTOR, American symbol";"";"";"541-10.0KLDKR-ND";"";"";"";"CRCW040210K0FKED";"";"";"";"OEPS020030";"";"";"";"";"";"";"";"";"";"";"";
"3";"1M";"R-US_R0402";"R0402@1";"R3, R8, R9";"RESISTOR, American symbol";"";"";"541-1.00MLCT-ND";"";"";"";"CRCW04021M00FKED";"";"";"";"OEPS020026";"";"";"";"";"";"";"";"";"";"";"";
"2";"1x3 case";"22-23-2031";"22-23-2031";"LICK_0, LICK_1";".100" (2.54mm) Center Header - 3 Pin";"";"";"";"";"-";"";"282834-3";"";"1462950";"30C0862";"OEPS070035";"";"";"";"";"";"";"";"";"";"";"";
"2";"1x4 case";"22-23-2041";"22-23-2041";"CAM_TRIGGERS, REWARD_VALVES";".100" (2.54mm) Center Header - 4 Pin";"";"";"";"";"-";"";"282834-4";"";"1462920";"38C0355";"OEPS070036";"";"";"";"";"";"";"";"";"";"";"";
"2";"2x5 header";"TSW-105-02-S-D";"TSW-105-02-S-D";"X1, X2";"THROUGH-HOLE .025" SQ POST HEADER";"";"";"";"";"";"";"2x5 header";"";"unknown";"unknown";"n.a.";"";"";"";"";"";"";"";"";"";"";"";
"1";"330R";"R-EU_R0402";"R0402";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"RC0402FR-07330RL";"";"";"";"OEPS020037";"";"";"0";"";"";"R";"";"";"";"";"";
"1";"4.7nF";"C-EUC0402K";"C0402K";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"CC0402KRX7R8BB472";"";"";"";"OEPS010001";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7uF";"C-EUC0603";"C0603";"C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"C1608X6S1C475K080AC";"";"";"";"OEPS010018";"";"";"";"";"";"";"";"";"";"";"";
