Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "harp behavior v2.0.brd" as of: 9/21/2022 11:51 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.295,2.795,90
C2,Bottom,0.095,2.776,90
C3,Top,0.689,2.382,90
C4,Top,0.297,3.026,90
C5,Top,0.331,1.905,90
C6,Top,0.816,1.706,0
C7,Top,0.481,1.669,180
C8,Top,0.937,2.919,90
C9,Top,1.102,2.919,90
C10,Top,0.967,2.010,0
C11,Top,0.422,1.474,270
C12,Top,0.220,1.500,0
C13,Top,0.456,1.575,180
C14,Top,0.936,2.766,180
C15,Top,1.015,1.370,0
C16,Top,1.017,1.860,90
C17,Top,1.201,2.815,270
C18,Top,1.104,2.726,180
C19,Top,2.632,2.095,90
C20,Top,1.761,2.054,90
C21,Top,1.260,1.486,180
C22,Top,1.260,1.273,180
C23,Top,1.594,1.083,270
C24,Top,1.792,1.088,270
C25,Top,1.284,1.699,90
C26,Top,2.071,1.293,270
C27,Top,1.555,1.909,90
C28,Top,2.106,1.516,0
C29,Top,1.388,1.860,90
C30,Top,2.087,1.713,0
C31,Top,1.772,1.909,90
C32,Top,1.093,1.850,90
C33,Bottom,2.333,0.443,180
C34,Top,1.774,2.765,270
C35,Top,1.549,3.046,0
C36,Bottom,2.323,0.162,180
C37,Bottom,1.876,2.783,90
C38,Top,1.773,2.314,270
C39,Bottom,2.904,0.039,0
C40,Top,1.550,2.617,0
C41,Bottom,2.628,0.059,90
C42,Bottom,2.451,0.059,270
C43,Bottom,1.876,2.352,90
C44,Top,0.364,0.754,270
C45,Top,0.800,0.703,90
C46,Top,1.024,0.719,270
C47,Top,1.447,0.703,90
C48,Top,1.675,0.754,270
C49,Top,2.102,0.703,90
C50,Top,2.441,1.546,90
C51,Top,2.527,1.739,180
C52,Top,2.573,1.500,0
C53,Top,2.239,1.295,180
CLKIN,Top,0.097,1.057,0
CTUNE,Top,0.797,2.770,270
CUSB,Top,0.172,1.997,180
D1,Bottom,0.925,0.472,270
D2,Bottom,1.575,0.472,270
D3,Bottom,2.224,0.472,270
D4,Top,2.279,0.719,180
IC1,Top,0.549,1.766,270
IC3,Top,0.896,1.880,180
IC4,Top,0.746,1.460,90
IC5,Top,1.024,2.539,0
IC6,Top,2.736,2.018,0
IC7,Top,1.673,1.496,0
IC8,Top,1.550,2.854,0
IC9,Bottom,2.323,0.295,180
IC10,Bottom,3.042,0.097,180
IC11,Top,1.550,2.408,0
IC12,Top,0.474,0.728,0
IC13,Top,0.689,0.728,180
IC14,Top,1.124,0.728,0
IC15,Top,1.339,0.728,180
IC16,Top,1.773,0.728,0
IC17,Top,1.988,0.728,180
IC18,Top,2.598,1.594,90
IC19,Top,2.224,1.410,180
L1,Top,0.098,2.856,90
L2,Top,0.708,1.898,270
L3,Top,1.384,3.013,90
L4,Top,1.384,2.581,90
OSC1,Top,1.636,2.068,180
Q1,Top,1.901,2.781,0
Q2,Top,2.567,2.835,270
Q3,Top,1.901,2.332,0
Q4,Top,2.567,2.391,270
Q5,Top,2.710,1.157,270
Q6,Top,2.695,0.604,270
Q7,Bottom,2.677,1.220,90
Q8,Bottom,2.677,0.669,90
Q9,Top,2.709,0.871,270
Q10,Top,2.695,0.328,270
Q11,Bottom,2.677,0.945,90
Q12,Bottom,2.677,0.394,90
Q13,Top,1.530,0.923,0
Q14,Top,2.224,0.920,0
Q15,Top,0.806,0.974,90
Q16,Bottom,0.656,0.176,180
Q17,Bottom,1.299,0.177,180
Q18,Bottom,1.949,0.177,180
R1,Top,0.531,2.638,180
R2,Top,0.728,3.012,270
R3,Top,0.276,1.300,180
R4,Top,0.275,1.389,180
R5,Top,1.260,2.815,90
R6,Top,1.201,2.579,90
R7,Top,2.880,2.067,180
R8,Top,0.155,0.658,0
R9,Top,1.712,2.765,90
R10,Top,1.373,2.057,180
R11,Top,1.854,2.695,0
R12,Top,1.846,2.921,0
R13,Bottom,3.051,0.236,0
R14,Bottom,3.051,0.295,180
R15,Top,1.711,2.315,90
R16,Bottom,2.768,0.087,0
R17,Top,1.373,1.990,180
R18,Bottom,2.539,0.059,270
R19,Top,1.848,2.486,0
R20,Top,1.853,2.247,0
R21,Top,2.537,1.182,0
R22,Top,2.560,0.629,0
R23,Top,2.745,1.274,270
R24,Top,2.732,0.724,270
R25,Bottom,3.130,1.083,0
R26,Bottom,3.130,0.669,0
R27,Top,2.539,0.895,0
R28,Top,2.560,0.353,0
R29,Top,2.745,0.998,270
R30,Top,2.731,0.448,270
R31,Bottom,3.130,0.945,0
R32,Bottom,3.130,0.531,0
R33,Top,1.565,0.807,90
R34,Top,2.263,0.809,90
R35,Top,0.778,0.876,90
R36,Top,0.837,0.876,90
R37,Top,1.496,0.807,90
R38,Top,2.190,0.787,90
R39,Bottom,0.394,0.453,90
R40,Top,0.659,0.945,0
R41,Bottom,1.043,0.453,90
R42,Top,1.307,0.883,0
R43,Bottom,1.693,0.453,90
R44,Top,1.959,0.896,180
R45,Bottom,0.414,0.298,180
R46,Bottom,1.065,0.298,180
R47,Bottom,1.714,0.298,180
R48,Top,2.461,1.634,180
R49,Top,2.441,1.713,90
R50,Bottom,2.773,1.697,180
R51,Bottom,2.749,1.608,90
R52,Top,2.674,1.423,90
RI1,Top,2.263,2.854,270
RI2,Top,2.067,2.854,90
RI3,Top,2.263,2.408,270
RI4,Top,2.067,2.408,90
RTRIM,Top,0.732,2.709,90
RTUNE,Top,0.732,2.831,90
RUSB,Top,0.014,1.996,0
RX,Top,0.434,1.389,0
STATE,Top,0.146,0.473,270
TX,Top,0.434,1.300,0
USB,Top,-0.133,1.750,270
