Item1.Item1.X,Item1.Item1.Y,Item1.Item1.Brightness,Item1.Item2,Item2
0,0,106,2685.320032,4264.156
0,0,113,2685.330016,4264.165984
0,0,104,2685.340032,4264.176
0,0,101,2685.350016,4264.185984
0,0,105,2685.360032,4264.196
0,0,109,2685.370016,4264.205984
0,0,106,2685.380032,4264.216
0,0,106,2685.390016,4264.225984
0,0,105,2685.400032,4264.236
0,0,103,2685.410016,4264.245984
0,0,105,2685.420032,4264.256
0,0,103,2685.430016,4264.265984
0,0,105,2685.440032,4264.276
0,0,107,2685.450016,4264.285984
0,0,105,2685.460032,4264.296
0,0,109,2685.470016,4264.305984
0,0,104,2685.480032,4264.316
0,0,101,2685.490016,4264.325984
0,0,105,2685.500032,4264.336
0,0,104,2685.510016,4264.345984
0,0,103,2685.520032,4264.356
0,0,103,2685.530016,4264.365984
0,0,102,2685.540032,4264.376
0,0,105,2685.550016,4264.385984
0,0,105,2685.560032,4264.396
0,0,106,2685.570016,4264.405984
0,0,100,2685.580032,4264.416
0,0,100,2685.590016,4264.425984
0,0,104,2685.600032,4264.436
0,0,105,2685.610016,4264.445984
0,0,108,2685.620032,4264.456
0,0,109,2685.630016,4264.465984
0,0,107,2685.640032,4264.476
0,0,102,2685.650016,4264.485984
0,0,103,2685.660032,4264.496
0,0,104,2685.670016,4264.505984
0,0,101,2685.680032,4264.516
0,0,102,2685.690016,4264.525984
0,0,108,2685.700032,4264.536
0,0,102,2685.710016,4264.545984
0,0,104,2685.720032,4264.556
0,0,104,2685.730016,4264.565984
0,0,107,2685.740032,4264.576
0,0,102,2685.750016,4264.585984
0,0,107,2685.760032,4264.596
0,0,103,2685.770016,4264.605984
0,0,103,2685.780032,4264.616
0,0,104,2685.790016,4264.625984
0,0,103,2685.800032,4264.636
0,0,108,2685.810016,4264.645984
0,0,105,2685.820032,4264.656
0,0,109,2685.830016,4264.665984
0,0,100,2685.840032,4264.676
0,0,105,2685.850016,4264.685984
0,0,104,2685.860032,4264.696
0,0,109,2685.870016,4264.705984
0,0,104,2685.880032,4264.716
0,0,107,2685.890016,4264.725984
