Item1.X,Item1.Y,Item1.Brightness,Item2
0,0,110,1548.820032
0,0,113,1548.830016
0,0,112,1548.840032
0,0,108,1548.850016
0,0,114,1548.860032
0,0,108,1548.870016
0,0,113,1548.880032
0,0,108,1548.890016
0,0,110,1548.900032
0,0,113,1548.910016
0,0,110,1548.920032
0,0,116,1548.930016
0,0,112,1548.940032
0,0,111,1548.950016
0,0,105,1548.960032
0,0,107,1548.970016
0,0,111,1548.980032
0,0,110,1548.990016
0,0,112,1549.000032
0,0,110,1549.010016
0,0,113,1549.020032
0,0,111,1549.030016
0,0,111,1549.040032
0,0,117,1549.050016
0,0,112,1549.060032
0,0,110,1549.070016
0,0,106,1549.080032
0,0,107,1549.090016
0,0,110,1549.100032
0,0,110,1549.110016
0,0,114,1549.120032
0,0,106,1549.130016
0,0,111,1549.140032
0,0,105,1549.150016
0,0,111,1549.160032
0,0,110,1549.170016
0,0,109,1549.180032
0,0,108,1549.190016
0,0,107,1549.200032
0,0,112,1549.210016
0,0,109,1549.220032
0,0,105,1549.230016
0,0,108,1549.240032
0,0,105,1549.250016
0,0,105,1549.260032
0,0,110,1549.270016
0,0,116,1549.280032
0,0,110,1549.290016
0,0,107,1549.300032
0,0,107,1549.310016
0,0,109,1549.320032
0,0,107,1549.330016
0,0,109,1549.340032
0,0,111,1549.350016
0,0,105,1549.360032
0,0,110,1549.370016
0,0,111,1549.380032
0,0,114,1549.390016
0,0,109,1549.400032
0,0,108,1549.410016
0,0,108,1549.420032
0,0,114,1549.430016
0,0,110,1549.440032
0,0,115,1549.450016
0,0,112,1549.460032
0,0,107,1549.470016
0,0,108,1549.480032
0,0,112,1549.490016
0,0,109,1549.500032
0,0,106,1549.510016
0,0,107,1549.520032
0,0,111,1549.530016
0,0,106,1549.540032
0,0,109,1549.550016
0,0,109,1549.560032
0,0,105,1549.570016
0,0,109,1549.580032
0,0,108,1549.590016
0,0,111,1549.600032
0,0,113,1549.610016
0,0,111,1549.620032
0,0,109,1549.630016
0,0,107,1549.640032
0,0,109,1549.650016
0,0,112,1549.660032
0,0,109,1549.670016
0,0,114,1549.680032
0,0,109,1549.690016
0,0,105,1549.700032
0,0,108,1549.710016
0,0,108,1549.720032
0,0,105,1549.730016
0,0,106,1549.740032
0,0,111,1549.750016
0,0,108,1549.760032
0,0,106,1549.770016
0,0,108,1549.780032
0,0,113,1549.790016
0,0,107,1549.800032
0,0,112,1549.810016
0,0,112,1549.820032
0,0,110,1549.830016
0,0,111,1549.840032
0,0,116,1549.850016
0,0,109,1549.860032
0,0,108,1549.870016
0,0,108,1549.880032
0,0,101,1549.890016
0,0,106,1549.900032
0,0,113,1549.910016
0,0,110,1549.920032
0,0,117,1549.930016
